source,target,gas_price,block_timestamp,gas,nonce,token_official_site,value,abuse,max_fee_per_gas,max_priority_fee_per_gas
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-22 11:17:08,50000,1787039,null,0.050103622000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-18 05:45:54,50000,1755817,null,0.050366150999999998,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-13 08:33:00,50000,1724107,null,0.050251469000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-08 19:24:01,50000,1693246,null,0.050441732000000003,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-04 18:28:13,50000,1665731,null,0.050241487000000001,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-01-31 11:24:39,50000,1639840,null,0.050079028999999997,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-01-26 16:17:04,50000,1617646,null,0.050386161999999998,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,72000000000,2021-01-23 09:31:28,42000,2,null,1.404260069662634169,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0xf4aaed13e17ab8672aa73c9b92d554064fb1a743,64000000000,2021-01-23 09:16:32,21000,1,null,0.944145902013391103,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-01-21 13:56:15,50000,1595653,null,0.050471705999999998,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0xfa4eb1b3fdafe1c3608e572e9a871ee1bf6ab309,140000000000,2021-01-20 12:53:20,21000,47,null,0.272242186649243156,null,null,null
